0.0025	-0.00004	0.003	-0.00005	0.0035	-0.00007	0.0035	-0.00009	0.0045	-0.0001	0.0045	-0.00012	0.0045	-0.00013	0.005	-0.00015	0.004	-0.00016	0.005	-0.00018
0.0035	-0.00003	0.004	-0.00004	0.005	-0.00005	0.0045	-0.00006	0.0055	-0.00007	0.0055	-0.00008	0.006	-0.0001	0.0065	-0.00011	0.006	-0.00012	0.0065	-0.00013
0.002	-0.00002	0.002	-0.00003	0.0025	-0.00004	0.0025	-0.00005	0.0025	-0.00005	0.0025	-0.00007	0.0025	-0.00008	0.003	-0.00009	0.003	-0.0001	0.003	-0.0001
0.006	-0.00001	0.007	-0.00001	0.0085	-0.00002	0.0095	-0.00002	0.0105	-0.00002	0.0115	-0.00003	0.0115	-0.00003	0.013	-0.00003	0.013	-0.00004	0.014	-0.00004
0.0025	0	0.003	0	0.0035	-0.00001	0.004	-0.00001	0.0045	-0.00001	0.005	-0.00001	0.005	-0.00001	0.006	-0.00001	0.006	-0.00002	0.007	-0.00001
0.0025	0	0.005	0	0.004	0	0.004	0	0.005	0	0.0055	0	0.0055	0	0.007	0	0.006	0	0.008	0
0.0025	0	0.005	0.00001	0.004	0.00001	0.005	0.00001	0.006	0.00001	0.0065	0.00001	0.007	0.00001	0.0085	0.00001	0.009	0.00002	0.01	0.00001
0.0025	0.00001	0.003	0.00001	0.005	0.00002	0.0065	0.00002	0.007	0.00002	0.009	0.00003	0.0095	0.00003	0.012	0.00003	0.013	0.00004	0.016	0.00004
0.0085	0.00002	0.014	0.00003	0.021	0.00004	0.03	0.00005	0.0405	0.00006	0.056	0.00007	0.073	0.00008	0.094	0.00009	0.11	0.0001	0.1255	0.00011
0.003	0.00003	0.005	0.00003	0.0105	0.00005	0.017	0.00006	0.0265	0.00007	0.0285	0.00008	0.035	0.00009	0.0375	0.00011	0.037	0.00012	0.038	0.00013
0.008	0.00003	0.022	0.00005	0.04	0.00007	0.05	0.00008	0.063	0.0001	0.06	0.00011	0.067	0.00013	0.0685	0.00015	0.066	0.00016	0.064	0.00018
0.007	0.00004	0.027	0.00007	0.041	0.00009	0.0415	0.0001	0.0445	0.00012	0.041	0.00013	0.042	0.00016	0.0395	0.00019	0.036	0.0002	0.0325	0.00023
0.01	0.00005	0.032	0.00008	0.0365	0.00011	0.0335	0.00012	0.0355	0.00015	0.0325	0.00016	0.03	0.00019	0.026	0.00022	0.023	0.00024	0.02	0.00027
0.0145	0.00006	0.032	0.0001	0.032	0.00013	0.028	0.00014	0.0285	0.00017	0.022	0.00019	0.021	0.00023	0.018	0.00026	0.015	0.00028	0.014	0.00032
0.02	0.00007	0.026	0.00011	0.0275	0.00014	0.026	0.00017	0.023	0.0002	0.018	0.00022	0.015	0.00026	0.013	0.0003	0.011	0.00032	0.0105	0.00037
0.034	0.00008	0.035	0.00013	0.0275	0.00017	0.026	0.00021	0.0235	0.00025	0.02	0.00027	0.0165	0.00032	0.0145	0.00037	0.013	0.00039	0.012	0.00045
0.037	0.00011	0.039	0.00017	0.031	0.00021	0.019	0.00025	0.0215	0.00031	0.0155	0.00033	0.0165	0.00041	0.015	0.00047	0.014	0.0005	0.0135	0.00057
0.0325	0.00013	0.026	0.00021	0.021	0.00027	0.013	0.00029	0.0145	0.00038	0.0105	0.00038	0.012	0.0005	0.012	0.00059	0.011	0.00062	0.011	0.00071
0.032	0.00017	0.024	0.00028	0.02	0.00036	0.0165	0.00038	0.016	0.0005	0.014	0.00049	0.014	0.00066	0.014	0.00077	0.013	0.00081	0.0135	0.00094
0.0195	0.00023	0.015	0.00035	0.013	0.00044	0.0125	0.00047	0.012	0.00063	0.0115	0.00064	0.0095	0.00082	0.01	0.00096	0.01	0.00102	0.01	0.00116
0.013	0.00027	0.01	0.00041	0.0095	0.00053	0.008	0.00055	0.008	0.00073	0.0065	0.00072	0.008	0.00098	0.0085	0.00114	0.008	0.00121	0.008	0.00138
